Логгер не умеет создавать папку, поэтому необходимо иметь её в каком-либо виде.
[2022-07-25 16:41:43,431] postgre_db:76    [INFO] ----db init is started----
[2022-07-25 16:41:43,431] postgre_db:78    [INFO] ----db init is ended----
[2022-07-25 16:41:43,447] __main__:21    [INFO] Запуск миграций
[2022-07-25 16:41:43,668] __main__:27    [INFO] Миграции завершены
[2022-07-25 16:41:43,669] __main__:33    [INFO] Запуск приложения.
[2022-07-25 16:41:43,671] h_bot:22    [INFO] Установлен список команд BotCommandScopeDefault()
[2022-07-25 16:41:43,998] aiogram.dispatcher:420    [INFO] Start poling
[2022-07-25 16:41:44,048] aiogram.dispatcher:425    [INFO] Run polling for bot @iHospice_dev_test_bot id=5470519631 - 'Ай-Teko тест бот'
[2022-07-25 17:22:03,966] aiogram.event:149    [INFO] Update id=352774942 is handled. Duration 187 ms by bot id=5470519631
[2022-07-25 17:28:35,621] aiogram.dispatcher:195    [ERROR] Failed to fetch updates - TelegramNetworkError: ServerDisconnectedError: Server disconnected
[2022-07-25 17:28:35,623] aiogram.dispatcher:197    [WARNING] Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 5470519631)
[2022-07-26 00:38:52,118] aiogram.dispatcher:440    [INFO] Polling stopped
[2022-07-26 13:22:36,396] postgre_db:76    [INFO] ----db init is started----
[2022-07-26 13:22:36,397] postgre_db:78    [INFO] ----db init is ended----
[2022-07-26 13:22:36,428] __main__:21    [INFO] Запуск миграций
[2022-07-26 13:22:36,630] __main__:27    [INFO] Миграции завершены
[2022-07-26 13:22:36,631] __main__:33    [INFO] Запуск приложения.
[2022-07-26 13:22:36,636] h_bot:22    [INFO] Установлен список команд BotCommandScopeDefault()
[2022-07-26 13:22:37,343] aiogram.dispatcher:420    [INFO] Start poling
[2022-07-26 13:22:37,413] aiogram.dispatcher:425    [INFO] Run polling for bot @iHospice_dev_test_bot id=5470519631 - 'Ай-Teko тест бот'
[2022-07-26 15:56:01,367] aiogram.dispatcher:195    [ERROR] Failed to fetch updates - TelegramNetworkError: ServerDisconnectedError: Server disconnected
[2022-07-26 15:56:01,370] aiogram.dispatcher:197    [WARNING] Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 5470519631)
[2022-07-26 16:46:57,838] aiogram.dispatcher:195    [ERROR] Failed to fetch updates - TelegramNetworkError: ServerDisconnectedError: Server disconnected
[2022-07-26 16:46:57,839] aiogram.dispatcher:197    [WARNING] Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 5470519631)
[2022-07-26 17:45:43,974] aiogram.event:149    [INFO] Update id=352774943 is handled. Duration 250 ms by bot id=5470519631
[2022-07-26 17:46:47,234] aiogram.event:149    [INFO] Update id=352774944 is handled. Duration 202 ms by bot id=5470519631
[2022-07-26 17:49:13,857] aiogram.event:149    [INFO] Update id=352774945 is handled. Duration 217 ms by bot id=5470519631
[2022-07-26 17:54:09,089] aiogram.event:149    [INFO] Update id=352774946 is handled. Duration 234 ms by bot id=5470519631
[2022-07-26 17:56:50,497] aiogram.event:149    [INFO] Update id=352774947 is handled. Duration 219 ms by bot id=5470519631
[2022-07-26 17:57:03,866] aiogram.event:149    [INFO] Update id=352774948 is handled. Duration 94 ms by bot id=5470519631
[2022-07-26 17:57:07,758] aiogram.event:149    [INFO] Update id=352774949 is handled. Duration 94 ms by bot id=5470519631
[2022-07-26 17:57:11,466] aiogram.event:149    [INFO] Update id=352774950 is handled. Duration 77 ms by bot id=5470519631
[2022-07-26 17:57:28,490] aiogram.event:149    [INFO] Update id=352774951 is handled. Duration 172 ms by bot id=5470519631
[2022-07-26 17:57:31,559] aiogram.event:149    [INFO] Update id=352774952 is handled. Duration 77 ms by bot id=5470519631
[2022-07-26 17:57:36,169] aiogram.event:149    [INFO] Update id=352774953 is handled. Duration 155 ms by bot id=5470519631
[2022-07-26 17:57:56,632] aiogram.event:149    [INFO] Update id=352774954 is handled. Duration 204 ms by bot id=5470519631
[2022-07-26 17:58:05,655] aiogram.event:149    [INFO] Update id=352774955 is handled. Duration 94 ms by bot id=5470519631
[2022-07-26 17:58:11,775] aiogram.event:149    [INFO] Update id=352774956 is handled. Duration 94 ms by bot id=5470519631
[2022-07-26 17:58:19,768] aiogram.event:149    [INFO] Update id=352774957 is handled. Duration 109 ms by bot id=5470519631
[2022-07-26 17:58:23,439] aiogram.event:149    [INFO] Update id=352774958 is handled. Duration 109 ms by bot id=5470519631
[2022-07-26 17:58:37,845] aiogram.event:149    [INFO] Update id=352774959 is handled. Duration 92 ms by bot id=5470519631
[2022-07-26 18:30:32,718] aiogram.event:149    [INFO] Update id=352774960 is handled. Duration 187 ms by bot id=5470519631
[2022-07-26 18:31:14,984] aiogram.event:149    [INFO] Update id=352774961 is handled. Duration 172 ms by bot id=5470519631
[2022-07-26 18:33:01,043] aiogram.event:149    [INFO] Update id=352774962 is handled. Duration 187 ms by bot id=5470519631
[2022-07-26 18:33:07,204] aiogram.event:149    [INFO] Update id=352774963 is handled. Duration 140 ms by bot id=5470519631
[2022-07-26 18:34:02,208] aiogram.event:149    [INFO] Update id=352774964 is handled. Duration 282 ms by bot id=5470519631
